name,city,statenam,state,censdist,year,sworn,civil,violent,property,elecyear,governor,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim
albuquerque,1,nm,31.0,85.0,1970,370.0,124.0,1440.0,18369.0,0.0,1.0,8.105667114,0.029606103999999998,0.077969968,245000.0,0.0,0.0,1.0,0.090886235,0.11183589699999999,0.11572474199999999,0.101486504,0.08953768,0.072414219,2.199998856,12.29999542,829.8969727000001,157.2164307,0.387999773,0.0
albuquerque,1,nm,31.0,85.0,1971,377.0,197.0,1789.0,21921.0,0.0,0.0,8.330863953,0.027403355,0.081479967,254666.625,0.0,0.0,1.0,0.08916801199999999,0.10695183300000001,0.11122453199999999,0.101117074,0.09154748900000001,0.075900078,2.229999542,12.18999481,834.5678711,172.8394775,0.404999971,1.0
albuquerque,1,nm,31.0,85.0,1972,389.0,155.0,2193.0,21281.0,0.0,0.0,8.846885681,0.060098886,0.074660003,251200.0,0.0,0.0,1.0,0.08755320300000001,0.1023615,0.106995046,0.100769877,0.09343642,0.079176307,2.259998322,12.0799942,846.8896483999999,179.4257813,0.41799998299999996,1.0
albuquerque,1,nm,31.0,85.0,1973,447.0,137.0,2263.0,20417.0,1.0,0.0,9.182426453,0.037226199999999994,0.073839962,262404.0,0.0,0.0,1.0,0.086032629,0.09803932900000001,0.10301250199999999,0.10044294599999999,0.09521502300000001,0.082261205,2.289999008,11.96999359,828.8286132999999,173.4233398,0.44399976700000005,1.0
albuquerque,1,nm,31.0,85.0,1974,486.0,161.0,1894.0,20800.0,0.0,1.0,9.10344696,-0.008638859,0.082719982,278100.0,0.0,0.0,1.0,0.084598362,0.09396231199999999,0.09925597900000001,0.10013455199999999,0.096892715,0.08517110300000001,2.319999695,11.85999298,778.9042969,160.2434082,0.49299979200000005,1.0
albuquerque,1,nm,31.0,85.0,1975,509.0,159.0,2383.0,22930.0,0.0,0.0,9.197021484,0.010226965,0.10017997,286238.0,0.0,0.0,1.0,0.083243191,0.09011030199999999,0.09570670099999999,0.09984314400000001,0.09847784,0.08792036800000001,2.349998474,11.75,842.0073242000001,144.9813232,0.53799963,1.0
albuquerque,1,nm,31.0,85.0,1976,496.0,184.0,2420.0,26006.0,0.0,0.0,9.497360229,0.032133818,0.09226995699999999,292265.0,0.0,0.0,1.0,0.081960797,0.086465061,0.09234798,0.09956741300000001,0.09997785099999999,0.09052205099999999,2.3799991609999998,11.63999939,871.7045898,145.86987299999998,0.568999767,1.0
albuquerque,1,nm,31.0,85.0,1977,491.0,214.0,2390.0,21565.0,1.0,0.0,9.846534729,0.036105394,0.077529967,292341.0,0.0,0.0,1.0,0.080745459,0.083010495,0.08916491300000001,0.09930610699999999,0.101399481,0.092987716,2.409999847,11.52999878,891.0888672,151.81518549999998,0.605999947,1.0
albuquerque,1,nm,31.0,85.0,1978,465.0,188.0,2434.0,20432.0,0.0,1.0,10.319015499999999,0.04686904,0.05675,291834.0,0.0,0.0,1.0,0.079592049,0.079731882,0.08614403,0.099058151,0.10274857300000001,0.095327735,2.439998627,11.41999817,904.9077148,144.1717529,0.65199995,1.0
albuquerque,1,nm,31.0,85.0,1979,472.0,250.0,2679.0,24662.0,0.0,0.0,10.27685547,-0.004093885,0.066419959,302120.0,0.0,0.0,1.0,0.07849597900000001,0.076616228,0.083273232,0.09882247400000001,0.104030669,0.097551465,2.469999313,11.30999756,911.8457030999999,161.1569824,0.7259998320000001,1.0
albuquerque,1,nm,31.0,85.0,1980,499.0,306.0,3008.0,26318.0,0.0,0.0,9.913833618,-0.035963535,0.074669957,328837.0,0.0,0.0,1.0,0.077453077,0.073651671,0.08054167,0.09859824199999999,0.105250657,0.09966737,2.5,11.19999695,862.8637695,155.33972169999998,0.8239998820000001,1.0
albuquerque,1,nm,31.0,85.0,1981,557.0,241.0,2985.0,27629.0,1.0,0.0,9.925186157,0.0011448860000000001,0.072669983,336840.0,0.0,0.0,1.0,0.077601969,0.073972404,0.079147458,0.095094025,0.10207212,0.098899186,2.5499992369999998,11.28999329,874.5874023,166.1165771,0.90899992,1.0
albuquerque,1,nm,31.0,85.0,1982,564.0,289.0,2659.0,26555.0,0.0,1.0,9.85181427,-0.00742054,0.09224999,344962.0,0.0,0.0,1.0,0.07774663,0.07428401700000001,0.077792764,0.09168928900000001,0.098983824,0.09815281599999999,2.599998474,11.37999725,879.5795898,167.2866211,0.9649996759999999,1.0
albuquerque,1,nm,31.0,85.0,1983,592.0,299.0,2954.0,26296.0,0.0,0.0,9.882530212,0.0031130309999999996,0.10182994599999999,355163.0,0.0,0.0,1.0,0.077887237,0.074586928,0.076476038,0.08837992,0.095982015,0.097427309,2.649999619,11.46999359,908.7705078,159.6972656,0.995999813,1.0
albuquerque,1,nm,31.0,85.0,1984,620.0,308.0,3615.0,27793.0,0.0,0.0,10.11391449,0.023144245,0.074829996,356366.0,0.0,0.0,1.0,0.07802397,0.07488143400000001,0.07519573,0.085161924,0.093063116,0.096721888,2.699998856,11.55999756,902.394043,162.6604004,1.0389995570000001,1.0
albuquerque,1,nm,31.0,85.0,1985,644.0,462.0,4105.0,29053.0,1.0,0.0,10.40612793,0.028482437000000003,0.088579953,357051.0,0.0,0.0,1.0,0.078156948,0.07516795400000001,0.07395023099999999,0.08203160799999999,0.09022373,0.09603565900000001,2.75,11.6499939,926.1630858999999,166.6452637,1.07599926,1.0
albuquerque,1,nm,31.0,85.0,1986,683.0,371.0,4292.0,31224.0,0.0,1.0,10.44660187,0.00388217,0.091419995,364196.0,0.0,0.0,1.0,0.078286409,0.075446784,0.07273823,0.078985393,0.087460577,0.095367908,2.7999992369999998,11.73999786,976.0361328,180.3813477,1.095999718,1.0
albuquerque,1,nm,31.0,85.0,1987,710.0,367.0,3845.0,33163.0,0.0,0.0,10.47952271,0.00314641,0.08791995,371756.0,0.0,0.0,1.0,0.078412414,0.075718224,0.07155835599999999,0.07601994299999999,0.084770739,0.09471780099999999,2.849998474,11.8299942,887.9311523,193.5913086,1.13599968,1.0
albuquerque,1,nm,31.0,85.0,1988,729.0,371.0,4275.0,34697.0,0.0,0.0,10.51902008,0.003761053,0.07824999099999999,378176.0,0.0,0.0,1.0,0.07853514,0.075982511,0.070409298,0.07313209799999999,0.082151294,0.09408474,2.899999619,11.91999817,881.1362305,207.12854,1.1829996109999998,1.0
albuquerque,1,nm,31.0,85.0,1989,760.0,389.0,4696.0,33648.0,1.0,0.0,10.64192963,0.011617421999999999,0.066079974,384801.0,0.0,0.0,1.0,0.07865464700000001,0.076240003,0.069289982,0.070318878,0.0795995,0.09346801,2.949998856,12.00999451,916.9350586000002,209.6773682,1.239999771,1.0
albuquerque,1,nm,31.0,85.0,1990,793.0,390.0,5121.0,33600.0,0.0,1.0,10.886291499999999,0.022701979,0.062749982,384736.0,0.0,0.0,1.0,0.078771114,0.07649093900000001,0.068199217,0.067577362,0.077112794,0.092867017,3.0,12.09999847,943.3813477,231.8286133,1.306999207,1.0
atlanta,2,ga,10.0,58.0,1970,950.0,159.0,3874.0,36218.0,0.0,1.0,8.703605652,0.01457715,0.040779978,495000.0,0.0,0.0,1.0,0.093136966,0.10256254699999999,0.102680385,0.09030926199999999,0.08913105699999999,0.083240032,51.5,21.29998779,585.0512695,141.7525635,0.38800001100000003,1.0
atlanta,2,ga,10.0,58.0,1971,1166.0,171.0,4640.0,36061.0,0.0,0.0,8.940734863,0.026880741,0.038809985,480333.25,0.0,0.0,1.0,0.09058362199999999,0.09978652,0.100578308,0.090302467,0.08960247,0.085003853,53.00997925,21.36000061,604.9379882999999,180.2468262,0.404999971,1.0
atlanta,2,ga,10.0,58.0,1972,1243.0,222.0,5728.0,36631.0,0.0,0.0,9.583724976000001,0.069448471,0.040519982999999996,497600.0,0.0,0.0,1.0,0.088159919,0.097151518,0.09858304300000001,0.09029603,0.09004998199999999,0.086678147,54.51998901,21.41999817,614.8325195,203.3492432,0.41799998299999996,1.0
atlanta,2,ga,10.0,58.0,1973,1458.0,199.0,7521.0,37537.0,1.0,0.0,10.04279327,0.046788215999999994,0.039519995,499000.0,0.0,0.0,1.0,0.08585637800000001,0.09464705,0.09668654199999999,0.090289891,0.090475261,0.088269413,56.02999878,21.47999573,599.0991211,234.2342529,0.44399976700000005,1.0
atlanta,2,ga,10.0,58.0,1974,1586.0,308.0,8414.0,40236.0,0.0,1.0,9.809326172,-0.023520947,0.054529995,490767.0,0.0,0.0,1.0,0.08366411900000001,0.09226363900000001,0.094881773,0.09028405,0.090880036,0.089783788,57.53997803,21.53999329,590.2636719,180.5273438,0.49299979200000005,1.0
atlanta,2,ga,10.0,58.0,1975,1415.0,453.0,8033.0,40851.0,0.0,0.0,9.531593323,-0.028721808999999997,0.085899949,490584.0,0.0,0.0,1.0,0.08157539400000001,0.089992702,0.093162179,0.090278447,0.091265678,0.091226697,59.04998779,21.59999084,617.1000977000001,189.59106450000002,0.53799963,0.0
atlanta,2,ga,10.0,58.0,1976,1251.0,335.0,7529.0,41978.0,0.0,0.0,9.93145752,0.04109478,0.081139982,457300.0,0.0,0.0,1.0,0.07958293,0.08782649,0.091521859,0.09027314199999999,0.091633558,0.09260308699999999,60.55999756,21.6599884,623.9013672,173.98937990000002,0.568999767,0.0
atlanta,2,ga,10.0,58.0,1977,1225.0,328.0,7595.0,38002.0,1.0,0.0,10.15346527,0.02210784,0.069059968,440300.0,0.0,0.0,1.0,0.07768029,0.08575791099999999,0.089955509,0.090268075,0.09198486800000001,0.09391742900000001,62.06997681,21.71998596,608.9106445,168.3167725,0.605999947,0.0
atlanta,2,ga,10.0,58.0,1978,1118.0,261.0,8845.0,45025.0,0.0,1.0,10.57361603,0.040547132,0.05666998,456000.0,0.0,0.0,1.0,0.075861514,0.08378052700000001,0.08845818,0.09026324699999999,0.09232062099999999,0.095173836,63.57998657,21.77999878,595.0917969,171.77905269999997,0.65199995,0.0
atlanta,2,ga,10.0,58.0,1979,1116.0,331.0,10715.0,48009.0,0.0,0.0,10.48209381,-0.008693695,0.05091998,423103.0,0.0,0.0,1.0,0.074121177,0.08188843700000001,0.087025464,0.09025859800000001,0.09264195,0.096376061,65.08996582,21.83999634,640.4956055,163.9117432,0.7259998320000001,1.0
atlanta,2,ga,10.0,58.0,1980,1223.0,337.0,11075.0,48319.0,0.0,0.0,10.13106537,-0.03406167,0.063999951,422474.0,0.0,0.0,1.0,0.072454333,0.080076218,0.08565318599999999,0.09025418800000001,0.09294974800000001,0.097527504,66.59997559,21.8999939,577.6699219,156.5533447,0.8239998820000001,1.0
atlanta,2,ga,10.0,58.0,1981,1294.0,352.0,10579.0,49990.0,1.0,0.0,10.23577881,0.010283232,0.063999951,435626.0,0.0,0.0,1.0,0.073296845,0.079107821,0.083352447,0.08780634400000001,0.091301501,0.09801721599999999,66.64996338,22.04998779,584.1582031,180.4179688,0.90899992,1.0
atlanta,2,ga,10.0,58.0,1982,1340.0,283.0,10486.0,46478.0,0.0,1.0,10.22098541,-0.001446486,0.078170002,441103.0,0.0,0.0,1.0,0.074087918,0.078198612,0.081192136,0.08550792900000001,0.089753866,0.09847700599999999,66.69995117,22.19999695,566.9702147999999,170.2376709,0.9649996759999999,1.0
atlanta,2,ga,10.0,58.0,1983,1315.0,288.0,9326.0,39087.0,0.0,0.0,10.71198273,0.046919823,0.074919999,448635.0,0.0,0.0,1.0,0.074832201,0.077343225,0.079159856,0.083345652,0.08829790400000001,0.09890961599999999,66.75,22.34999084,581.6499022999999,179.06347659999997,0.995999813,0.0
atlanta,2,ga,10.0,58.0,1984,1276.0,287.0,10525.0,38107.0,0.0,0.0,11.3445282,0.057372332000000005,0.060249984000000006,442951.0,0.0,0.0,1.0,0.07553356900000001,0.076537073,0.077244461,0.081307828,0.086925745,0.09931725300000001,66.79998779,22.5,589.0048828,170.5924072,1.0389995570000001,0.0
atlanta,2,ga,10.0,58.0,1985,1278.0,289.0,11610.0,45895.0,1.0,0.0,11.72490692,0.032979727,0.065419972,436214.0,0.0,0.0,1.0,0.07619577599999999,0.075776041,0.075436234,0.07938391,0.08563029800000001,0.09970212,66.84997559,22.6499939,631.7089844,160.64880369999997,1.07599926,0.0
atlanta,2,ga,10.0,58.0,1986,1326.0,305.0,13162.0,49906.0,0.0,1.0,12.31894684,0.049423456,0.059249997,445617.0,0.0,0.0,1.0,0.076821923,0.07505637400000001,0.07372635599999999,0.07756471599999999,0.08440536300000001,0.100066066,66.89996338,22.79998779,695.1469727000001,174.6464844,1.095999718,0.0
atlanta,2,ga,10.0,58.0,1987,1346.0,304.0,12893.0,53998.0,0.0,0.0,12.59436798,0.022110939,0.054749995,429953.0,0.0,0.0,1.0,0.07741493,0.074374795,0.072107017,0.075841844,0.083245277,0.100410759,66.94995117,22.94999695,738.65625,184.1693115,1.13599968,1.0
atlanta,2,ga,10.0,58.0,1988,1395.0,309.0,15911.0,62176.0,0.0,0.0,12.91123962,0.024848461000000002,0.057999998,444995.0,0.0,0.0,1.0,0.0779773,0.073728442,0.070571303,0.074207902,0.082145095,0.100737631,67.0,23.09999084,770.2319336,220.8282471,1.1829996109999998,1.0
