Obs,Weight,Length1,Length2,Length3,Height%,Width%,Sex,Species
1,242,23.2,25.4,30.0,38.4,13.4,,Abramis brama
2,290,24.0,26.3,31.2,40.0,13.8,,Abramis brama
3,340,23.9,26.5,31.1,39.8,15.1,,Abramis brama
4,363,26.3,29.0,33.5,38.0,13.3,,Abramis brama
5,430,26.5,29.0,34.0,36.6,15.1,,Abramis brama
6,450,26.8,29.7,34.7,39.2,14.2,,Abramis brama
7,500,26.8,29.7,34.5,41.1,15.3,,Abramis brama
8,390,27.6,30.0,35.0,36.2,13.4,,Abramis brama
9,450,27.6,30.0,35.1,39.9,13.8,,Abramis brama
10,500,28.5,30.7,36.2,39.3,13.7,,Abramis brama
11,475,28.4,31.0,36.2,39.4,14.1,,Abramis brama
12,500,28.7,31.0,36.2,39.7,13.3,,Abramis brama
13,500,29.1,31.5,36.4,37.8,12.0,,Abramis brama
14,,29.5,32.0,37.3,37.3,13.6,1,Abramis brama
15,600,29.4,32.0,37.2,40.2,13.9,1,Abramis brama
16,600,29.4,32.0,37.2,41.5,15.0,,Abramis brama
17,700,30.4,33.0,38.3,38.8,13.8,1,Abramis brama
18,700,30.4,33.0,38.5,38.8,13.5,,Abramis brama
19,610,30.9,33.5,38.6,40.5,13.3,,Abramis brama
20,650,31.0,33.5,38.7,37.4,14.8,,Abramis brama
21,575,31.3,34.0,39.5,38.3,14.1,1,Abramis brama
22,685,31.4,34.0,39.2,40.8,13.7,,Abramis brama
23,620,31.5,34.5,39.7,39.1,13.3,,Abramis brama
24,680,31.8,35.0,40.6,38.1,15.1,,Abramis brama
25,700,31.9,35.0,40.5,40.1,13.8,,Abramis brama
26,725,31.8,35.0,40.9,40.0,14.8,1,Abramis brama
27,720,32.0,35.0,40.6,40.3,15.0,,Abramis brama
28,714,32.7,36.0,41.5,39.8,14.1,,Abramis brama
29,850,32.8,36.0,41.6,40.6,14.9,,Abramis brama
30,1000,33.5,37.0,42.6,44.5,15.5,0,Abramis brama
31,920,35.0,38.5,44.1,40.9,14.3,0,Abramis brama
32,955,35.0,38.5,44.0,41.1,14.3,,Abramis brama
33,925,36.2,39.5,45.3,41.4,14.9,1,Abramis brama
34,975,37.4,41.0,45.9,40.6,14.7,0,Abramis brama
35,950,38.0,41.0,46.5,37.9,13.7,,Abramis brama
36,270,23.6,26.0,28.7,29.2,14.8,,Leusiscus idus
37,270,24.1,26.5,29.3,27.8,14.5,,Leusiscus idus
38,306,25.6,28.0,30.8,28.5,15.2,,Leusiscus idus
39,540,28.5,31.0,34.0,31.6,19.3,,Leusiscus idus
40,800,33.7,36.4,39.6,29.7,16.6,0,Leusiscus idus
41,1000,37.3,40.0,43.5,28.4,15.0,,Leusiscus idus
42,40,12.9,14.1,16.2,25.6,14.0,,Leuciscus rutilus
43,69,16.5,18.2,20.3,26.1,13.9,,Leuciscus rutilus
44,78,17.5,18.8,21.2,26.3,13.7,,Leuciscus rutilus
45,87,18.2,19.8,22.2,25.3,14.3,,Leuciscus rutilus
46,120,18.6,20.0,22.2,28.0,16.1,,Leuciscus rutilus
47,0,19.0,20.5,22.8,28.4,14.7,,Leuciscus rutilus
48,110,19.1,20.8,23.1,26.7,14.7,0,Leuciscus rutilus
49,120,19.4,21.0,23.7,25.8,13.9,0,Leuciscus rutilus
50,150,20.4,22.0,24.7,23.5,15.2,0,Leuciscus rutilus
51,145,20.5,22.0,24.3,27.3,14.6,0,Leuciscus rutilus
52,160,20.5,22.5,25.3,27.8,15.1,0,Leuciscus rutilus
53,140,21.0,22.5,25.0,26.2,13.3,,Leuciscus rutilus
54,160,21.1,22.5,25.0,25.6,15.2,0,Leuciscus rutilus
55,169,22.0,24.0,27.2,27.7,14.1,,Leuciscus rutilus
56,161,22.0,23.4,26.7,25.9,13.6,,Leuciscus rutilus
57,200,22.1,23.5,26.8,27.6,15.4,0,Leuciscus rutilus
58,180,23.6,25.2,27.9,25.4,14.0,,Leuciscus rutilus
59,290,24.0,26.0,29.2,30.4,15.4,,Leuciscus rutilus
60,272,25.0,27.0,30.6,28.0,15.6,0,Leuciscus rutilus
61,390,29.5,31.7,35.0,27.1,15.3,,Leuciscus rutilus
62,55,13.5,14.7,16.5,41.5,14.1,,Abramis bjrkna
63,60,14.3,15.5,17.4,37.8,13.3,1,Abramis bjrkna
64,90,16.3,17.7,19.8,37.4,13.5,1,Abramis bjrkna
65,120,17.5,19.0,21.3,39.4,13.7,1,Abramis bjrkna
66,150,18.4,20.0,22.4,39.7,14.7,,Abramis bjrkna
67,140,19.0,20.7,23.2,36.8,14.2,,Abramis bjrkna
68,170,19.0,20.7,23.2,40.5,14.7,0,Abramis bjrkna
69,145,19.8,21.5,24.1,40.4,13.1,0,Abramis bjrkna
