Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.2821405392,27549.3457319106,24639.9353260156,24289.1415161326,25354.7824741086,,,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,3238.09148925914,3497.91027902321,4217.40295633309,5343.11836912432,6320.97183409658,7168.39961013877,7151.57043433635,7751.16735128596,9127.60883965529,11819.6490624917,12377.7159313411,10372.3266170866,9611.23967601089,8023.34642612295,7729.32410836312,7775.02696439627,10362.1668362391,12615.0511153017,14305.2085040033,15166.9137458039,18876.7292791845,19530.8435047204,20541.7738959473,16508.8752202349,16226.971079738,18460.007428295,19043.8344533289,18421.6893164709,18996.4412226441,19347.1111309865,21432.9600712136,21823.5973148286,23975.2583466911,31382.1003194695,36894.9335843844,39990.3304085679,43192.2474634429,49338.0049949723,50036.2557937516,46401.0919605419,42952.7170668183,44015.0993211746,40150.3029688195,41014.6769022202,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,61.3040930583217,59.798693323222,80.4230020659073,83.7948118142624,103.089103111692,140.138383240116,163.700788626879,131.221435925562,131.313621224771,158.764230928666,161.709515997947,137.023687562771,144.8505998375,175.625523933274,188.552120093363,199.546613632383,226.578885405814,250.007640997592,278.939778294497,276.29775135459,268.346559648938,,,,,,,,,,,,,,,,,,,,115.312509504906,185.959290112028,198.287799133658,220.056287823678,252.407892506985,275.350971777983,373.59109161061,376.977494004198,450.658987747489,561.19818795366,616.043418621335,688.578784150394,664.804196554852,666.291754887115,,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,735.539171175338,715.255549721454,697.275528355302,680.407148833791,994.912712825509,967.694112665142,1072.83059338434,513.705192193037,463.809132052143,345.676788762371,416.32079066923,604.439435406847,597.931790056198,490.582011737721,455.413945273185,655.629494408705,621.195929994629,839.504511998619,920.101175859803,1229.34298758996,1706.5436213865,2440.63164181177,3412.71880659659,4596.26827439731,3988.6834975948,4218.64912559683,5159.23387704946,5539.80331118757,5782.66503870183,5935.72235635001,,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,662.520052309054,662.914792567128,719.157295703914,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.711327024676,218.492162347986,380.527371084275,619.064922738647,760.559358246866,951.132091437492,697.594564685119,871.893653940417,1104.74355302782,1193.46622313098,1336.85914136211,1458.32804719795,1859.55235195218,2466.00507977909,2781.57214420532,3051.76764036292,3603.01355988811,4370.5399247769,4114.13489916342,4094.36020359235,4437.8117250371,4256.01670203254,4458.07320707594,4619.21125800122,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,219.708067610684,235.748810218014,253.030854181198,285.889110532956,331.565094495641,410.059825899443,761.122432504621,818.757925116167,988.264193778012,1103.07556819112,1180.83171884083,1541.92010659258,2032.65868063577,2029.06921780979,1834.47084904727,1670.04822293287,1644.48936627726,1576.15170425121,1458.15210094492,1534.87319260699,1468.68288032796,1500.15554288742,2003.98183301248,1920.26582781733,2021.37468797422,1994.23335487559,1990.85642758898,2076.00189064072,2244.60108107075,2332.26292725204,2205.03544687373,2353.91245481005,2632.99375588552,2536.83087451382,2502.5404994905,2763.02511910456,3168.43348818828,3807.82818697289,4410.36120133026,5035.06105842587,6238.82636724518,5273.67519536844,6033.33943081725,7009.66665680267,7574.5295182605,7690.0239949046,7574.28810799924,,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,27631.8985139384,30817.263352089,34371.4628677947,28742.8553890077,33716.7241203951,42961.838256107,45232.6335751866,40339.2719153848,35218.0580107765,32731.5072699468,30138.8863803368,23788.1107808083,24019.6440345257,22543.0962565884,24289.9421610054,28066.1499477428,27018.9264070196,26944.7549017048,26224.149080631,26568.4899596498,28020.0854432245,29776.1600431382,30218.1755353753,27482.9828617102,29183.0503953349,34476.2853769806,32984.7423281387,34062.4256895298,36906.1998450072,40403.9881139794,43533.8905386945,45554.2181027324,44488.6485877244,46402.6404919844,32850.0750936576,33885.9304924774,38930.0069394228,40444.0658321152,43048.8562417705,42521.9745326965,,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,1148.16961298053,844.725024008369,1165.78516387942,1271.41556636899,1265.77734467379,1057.32806804985,1136.12592453378,1323.70790453585,1317.1869889513,1366.1180737277,1401.32489153958,2083.81188288541,2824.42766599272,2011.42143698411,1932.10310707553,2111.62136272167,2128.11608256583,2499.95664312636,2736.89737769562,2755.74442766573,2908.25092853875,3532.45047283574,2646.40665946183,2914.15451119049,3602.1791828324,3554.87780310803,3979.63712639717,2382.21723574934,4332.65638710793,5736.02048222757,6824.99711620962,6971.14227705408,7483.86386333018,7407.64520757917,7717.47985981198,8205.4529604258,8278.97251630894,7764.65649673207,7701.35853477978,7208.8146276908,2711.85077364775,3413.10906801856,4784.69188930117,5767.74165655925,6746.59537628819,8384.18770412063,10232.9590849753,9457.06989864404,11463.8434374439,13745.7988599138,14790.8826232836,15008.7895016451,12922.4180595,,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.680689996499,589.002948223927,368.916836793393,356.507351442189,399.751202522265,455.550276086151,503.231969620213,522.522072040184,608.336648730809,596.505996304047,621.424826318947,692.318825533253,779.89284168496,924.582154829345,1182.09735964882,1625.40776912682,2126.08752178872,3079.15218740947,3916.7381073829,2913.57414338577,3124.78401786195,3421.62643027141,3353.86292997872,3504.44676324316,3646.66270980698,,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,941.919930454288,1061.66043900776,1307.39641279195,1565.64863547914,1784.41520809846,2000.75198572204,2255.3690170917,2595.02427421436,3070.43927047236,3806.14955426997,4512.53967952176,5415.84780956705,6025.84758192516,6325.24090483941,6575.48038263731,6680.37575242046,7037.93902963406,7514.48354706237,7230.32050882325,7702.67014760284,8027.63098919176,8355.61849563092,8572.37332938458,10094.758886369,9797.9685397356,10027.8560434856,10382.6307170906,10993.3690531169,12079.8656950416,13599.908857304,15276.0682646698,15786.3577997616,13979.2626925883,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13961.2228093356,,
