Borough	Park Name	Park Location	Total Acres
Brooklyn	AMERICAN PLAYGROUND	NOBLE, FRANKLIN, MILTON STS	0.896
Brooklyn	MIDDLETON PLAYGROUND	LYNCH, MIDDLETON STS, LEE AVE	1.101
Brooklyn	COOPER PARK	SHARON, OLIVE STS, MASPETH & MORGAN AVES	6.401
Brooklyn	GREENPOINT PLAYGROUND	COMMERCIAL, FRANKLIN, DUPONT STS	0.504
Brooklyn	STERNBERG PARK	MONTROSE AVE, BOERUM, LORIMER, LEONARD STS	4.044
Brooklyn	MCCARREN PARK	NASSAU AVE, BAYARD, LEONARD & N 12 STS	35.713
Brooklyn	RAMIREZ PLAYGROUND	MCKIBBIN ST, WHITE ST, BOGART ST, SEIGEL ST	1.046
Brooklyn	SGT WILLIAM DOUGHERTY PLGD	ANTHONY ST, VANDERVOORT AVE, CHERRY ST	0.76
Brooklyn	WILLIAMSBURG BRIDGE PLGD	WYTHE AVE TO BERRY ST, S 5 TO S 6 STS	0.975
Brooklyn	MONSIGNOR MCGOLRICK PARK	DRIGGS TO NASSAU AVES, RUSSELL TO MONITOR STS	9.134
Brooklyn	WILLIAM SHERIDAN PLAYGROUND	WYTHE AVE TO BERRY ST, GRAND TO S 1 STS	0.788
Brooklyn	MARTINEZ PLAYGROUND	SCHOLES ST & MANHATTAN TO GRAHAM AVES	2
Brooklyn	NEWTOWN BARGE TERMINAL PLGD	COMMERCIAL, DUPONT & WEST STS	1.198
Brooklyn	BEDFORD PLAYGROUND	BEDFORD AVE & S 9 ST, DIVISION AVE	0.881
Brooklyn	LA GUARDIA PLAYGROUND WEST	HAVEMEYER TO ROEBLING STS, S 4 TO S 5 STS	1.884
Brooklyn	CONTINENTAL ARMY PLAZA	ROEBLING, S 4 & S 5 STS	0.76
Brooklyn	CLASSON PLGD	FLUSHING AVE, WILLIAMSBURG PL, CLASSON & KENT AVES	3.15
Brooklyn	CAMPIZ PLAYGROUND	HOPE ST, MARCY, METROPOLITAN AVES	0.752
Brooklyn	MACRI SQUARE	METROPOLITAN, UNION, MEEKER AVES	0.57
Brooklyn	LENTOL GARDEN	GRAHAM AV,MCGUINESS BLVD S, BAYARD & MEEKER STS	0.762
Brooklyn	FROST PLGD	FROST ST, KINGSLAND & MORGAN AVES	0.739
Brooklyn	ROEBLING PLGD	WILSON & LEE AVES, TAYLOR ST, BEDFORD AVE	1.227
Brooklyn	BARTLETT PLGD	BARTLETT ST & THROOP AVE	0.918
Brooklyn	BUSHWICK PLGD & POOL	FLUSHING AVE, BUSHWICK AVE & HUMBOLDT ST	1.29
Brooklyn	TEN EYCK PLGD	BUSHWICK AVE, SCHOLES & MESEROLE STS	0.972
Brooklyn	ERICSSON PLGD	MANHATTAN AVE & LEONARD ST	1.15
Brooklyn	DE HOSTOS PLGD	HARRISON AVE, WALTON TO LORIMER STS, THROOP AVE	1.1
Brooklyn	ROBERTO CLEMENTE BALLFIELD	DIVISION AVE BET WYTHE AND KENT AVES	1.239
Brooklyn	JACOBS LADDER	CLYMER ST BET WYTHE AND KENT AVES	0.848
Brooklyn	WNYC TRANSMITTER SITE	WEST AND KENT STREETS, GREENPOINT AVENUE	1.6
Brooklyn	GRAND FERRY PARK	GRAND ST BET RIVER ST & EAST RIVER	1.8
Brooklyn	EPIPHANY PLGD	BERRY ST, SOUTH 9TH ST, SOUTH 10TH ST	0.5
Brooklyn	COM JOHN BARRY PARK & PLGD	PARK AVE, NAVY ST, FLUSHING AVE, N ELIOT PL	10.391
Brooklyn	CUYLER GORE	FULTON, CUMBERLAND STS, GREENE AVE	1.158
Brooklyn	FORT GREENE PARK	MYRTLE AVE, CUMBERLAND ST, DEKALB AVE	30.168
Brooklyn	MCLAUGHLIN PARK	TILLARY ST, JAY ST, CATHEDRAL PL, BRIDGE ST	1.976
Brooklyn	CRISPUS ATTUCKS PLAYGROUND	CLASSON AVE, FULTON ST, IRVING PL	0.934
Brooklyn	S PARKES CADMAN PLAZA	TILLARY, C PLAZA W, C PLAZA E, PROSPECT STS	10.384
Brooklyn	COLUMBUS PARK	C PLAZA W, TILLARY, C PLAZA E, JOHNSON STS	1.195
Brooklyn	COLUMBUS PARK	ADAMS, JOHNSON, FULTON, JORALEMON STS	4.14
Brooklyn	PARK STRIP	PROSPECT, ADAMS, WASHINGTON & SANDS STS	2.878
Brooklyn	WALT WHITMAN PARK	CADMAN PLAZA EAST, ADAMS STS, RED CROSS P	2.913
Brooklyn	SIXTEEN SYCAMORES PLAYGROUND	SCHERMERHORN ST, 3 AVE, NEVINS ST	0.567
Brooklyn	WASHINGTON HALL PLGD	PARK, WASHINGTON AVES TO HALL ST	0.901
Brooklyn	STEUBEN PLGD	FLUSHING, CLASSON, PARK AVES & STEUBEN ST	1.171
Brooklyn	PIERREPONT PLGD	FURMAN ST, PIERREPONT PL, MONTAGUE, PIERREPONT STS	0.535
Brooklyn	PALMETTO PLAYGROUND	ATLANTIC AVE, FURMAN, COLUMBIA, STATE STS	2.967
Brooklyn	FRUIT STREET SITTING AREA	ORANGE, CRANBERRY, FURMAN STS, COLUMBIA HEIGHTS	0.92
Brooklyn	SQUIBB PARK	COLUMBIA HEIGHTS TO FURMAN ST AT MIDDAGH ST	0.595
Brooklyn	HILLSIDE PARK	COLUMBIA HGTS & VINE ST	2.06
Brooklyn	BROOKLYN ANCHORAGE PLAZA	FULTON, YORK, WASHINGTON & PRSOPECT STS	2.9
Brooklyn	CLUMBER CORNER	WASHINGTON, YORK, ADAMS, PROSPECT STS	1.46
Brooklyn	BAR AND GRILL PARK	ADAMS, YORK & PEARL STS	0.821
Brooklyn	BRIDGE PARK 2	JAY, YORK, TALMAN, PROSPECT, BRIDGE STS	2.117
Brooklyn	BRIDGE PARK 3	E/S JAY ST, PROSPECT, SANDS & BRIDGE STS	1.934
Brooklyn	TRINITY PARK	SANDS, GOLD, NASSAU STS	6.3
Brooklyn	GRASS STRIP	REMSEN TO ORANGE STREETS	1.002
Brooklyn	GOLCONDA PLAYGROUND	E/S GOLD ST, NASSAU TO CONCORD STS	2.114
Brooklyn	ALBERT J. PARHAM PLAYGROUND	ADELPHI ST TO CLERMONT AVE, BTWN DEKALB AVE. AND WILLOUGHBY AVE.	1.253
Brooklyn	BROOKLYN ACADEMY OF MUSIC	LAFAYETTE AVE, ST FELIX ST, ASHLAND PL	0.894
Brooklyn	UNDERWOOD PARK	LAFAYETTE & WASHINGTON AVES	1.187
Brooklyn	PRATT PLAYGROUND	WILLOUGHBY AVE, EMERSON PL	0.918
Brooklyn	CLASSON PLGD	LAFAYETTE & CLASSON AVES	1.336
Brooklyn	OXPORT PLGD	FLUSHING AVE, N PORTLAND AVE & N OXFORD ST	1.033
Brooklyn	ORACLE PLAYGROUND	ADELPHI & MYRTLE AVES	0.682
Brooklyn	GREENE PLGD	GREENE AVE BET WAVERLY & WASHINGTON AVES	1.259
Brooklyn	EDMONDS PLGD	DEKALB AVE, ADELPHI ST & CARLTON AVE	0.917
