date	origin	purifying_agent	weight
11-29-93	NO	Hot iron	2.30143
12-05-93	NO	Hot iron	2.29816
12-06-93	NO	Hot iron	2.30182
12-08-93	NO	Hot iron	2.29890
12-12-93	Air	Hot iron	2.31017
12-14-93	Air	Hot iron	2.30986
12-19-93	Air	Hot iron	2.31010
12-22-93	Air	Hot iron	2.31001
12-26-93	N20	Hot iron	2.29889
12-28-93	N20	Hot iron	2.29940
01-09-94	NH4NO2	Hot iron	2.29849
01-13-94	NH4NO2	Hot iron	2.29889
01-27-94	Air	Ferrous hydrate	2.31024
01-30-94	Air	Ferrous hydrate	2.31030
02-01-94	Air	Ferrous hydrate	2.31028
